Ticker,RecentPrice,Beta,AnnualDividendRate,ROE(%),ROA(%),ProfitMargin(%),TotalCash,TotalDebt,OutstandingShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome.1,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,MarketCap,Sector
AMZN,3034.129883,1.13,2.013416667,25.83,5.32,5.74,1557500000.0,1130000000,507150000.0,7987129705.0,51879000000.0,261842000000.0,120564000000.0,10974000000.0,382406000000.0,5000000,218000000.0,71592000000.0,18145000000.0,15345000000,-2912000000.0,22027000000.0,29944000000.0,123994000000.0,-1075000000,199303000000.0,138531000000.0,7200000000.0,105219000000.0,28392000000,55855000000.0,30933000000,71474000000.0,1185000000,4311000000,3156000000.0,30944000000,47882000000,4852000000,4852000000,-493000000.0,1155000000.0,110812000000.0,105960000000.0,62930000000,-541000000.0,3156000000,3156000000,577000000.0,4170000000.0,-14828000000,-2776000000.0,-1465000000.0,71203177.08,3156000000.0,-10490000000.0,-1082745008,-199000000.0,7313000000,8948000000.0,107816635.5,-416011386.8,-4890000000.0,4453000000.0,-15748000000.0,-2776000000.0,1247087705,1538760000000.0,Consumer Discretionary
ANET,126.5800018,1.112560976,2.013416667,22.58,10.86,28.3,110200000.0,15900000,30730000.0,100713000.0,1473595000.0,1572090000.0,3865260000.0,593238000.0,5437350000.0,8000,124261000.0,2393661000.0,617075000.0,188397000,-2004000.0,461288000.0,630982000.0,893387000.0,-2004000,144747000.0,4523958000.0,18247000.0,3576150000.0,395590000,18899216511.0,599987000,135252000.0,1259538676,234640000,224305000.0,92228000,478615000,233294000,233294000,-145599757.6,10335000.0,748697000.0,515403000.0,270082000,1346000.0,224305000,224305000,-379273000.0,42396000.0,-425281000,-109156000.0,-15448000.0,29270000.0,224305000.0,-262706000.0,-138426000,-848000.0,272579000,12629000.0,-120000.0,-416011386.8,-31376000.0,66960000.0,-45888000.0,-377467239.7,1247087705,3889803456.0,Electronic Technology
ANSS,282.3299866,1.112560976,2.013416667,11.78,6.25,24.92,123900000.0,202800000,87250000.0,667268000.0,1428419000.0,1635508000.0,4339244000.0,326056000.0,5974752000.0,953000,4346088436.0,4056049000.0,178784000.0,3101623000,-1146177000.0,238445000.0,1080838000.0,600431000.0,-49126000,210731000.0,1756685000.0,28960695355.0,570353000.0,624849000,753451000.0,3778022598,12590000.0,1259538676,103898000,85342000.0,163652000,393611000,109344000,109344000,-2943000.0,18556000.0,441168000.0,331824000.0,47557000,-5446000.0,85342000,85342000,-311141535.4,10081000.0,-7332000,-24762000.0,5704000.0,12677000.0,85342000.0,123134000.0,-37439000,-2617000.0,157845000,26354000.0,-85000.0,-416011386.8,-6072000.0,37486000.0,-7298000.0,-377467239.7,1247087705,24633291328.0,Technology Services
APTV,107.5100021,2.09,0.0,7.31,4.25,3.78,116000000.0,521300000,270510000.0,964000000.0,3939000000.0,9446000000.0,8347000000.0,339000000.0,18007000000.0,3000000,78000000.0,5077000000.0,876000000.0,2511000000,-672000000.0,526000000.0,3139000000.0,4207000000.0,-672000000,3677000000.0,8436000000.0,1893000000.0,4872000000.0,3142000000,4049000000.0,2014000000,2953000000.0,5000000,39000000,31000000.0,278000000,593000000,278000000,278000000,-36000000.0,0.0,4134000000.0,3856000000.0,3541000000,-239000000.0,39000000,15000000,8000000.0,302000000.0,-259000000,-63000000.0,-26000000.0,71203177.08,31000000.0,346000000.0,-1082745008,-1000000.0,669000000,188000000.0,-6000000.0,-16000000.0,-62000000.0,126000000.0,-181000000.0,-23000000.0,-24000000,29082530678.0,Producer Manufacturing
ARE,196.1799927,0.83,4.42,4.03,1.25,26.86,22600000.0,484800000,154960000.0,609872000.0,16195256000.0,11186123000.0,16189542000.0,183847000.0,30219373000.0,1580000,254762000.0,23765154319.0,1262249000.0,10145954224,-7294000.0,1989122000.0,361348000.0,749354000.0,-7294000,24158764000.0,1546568000.0,1915047000.0,15579670000.0,930458000,8788274000.0,3778022598,513416000.0,3592000,99796000,74895000.0,41654000,404224000,123316000,123316000,-147746000.0,0.0,579941000.0,456625000.0,175717000,-23520000.0,99796000,72797000,438607000.0,-1389000.0,-1673931000,1473598000.0,-53866000.0,770552000.0,74895000.0,47173000.0,-10843000,-2054000.0,249560000,223517000.0,-14282000.0,-173560000.0,371000.0,3121000.0,-582493429.6,-470866000.0,1358315000,30400051665.0,Finance
ATVI,78.93000031,1.112560976,0.47,16.88,8.98,29.21,128400000.0,212800000,778890000.0,798000000.0,11640000000.0,7027000000.0,16950000000.0,926000000.0,23977000000.0,2716837500,626000000.0,11460000000.0,1404000000.0,9765000000,-6150000000.0,2032000000.0,9718000000.0,2016000000.0,-587000000,171000000.0,11211000000.0,28960695355.0,6387000000.0,585000000,3607000000.0,3778022598,248000000.0,1259538676,759000000,639000000.0,387000000,1543000000,827000000,827000000,-27000000.0,120000000.0,2070000000.0,1243000000.0,527000000,-68000000.0,639000000,639000000,97000000.0,-173000000.0,73000000,-62000000.0,-206000000.0,11000000.0,639000000.0,513000000.0,-73000000,-19000000.0,521000000,27000000.0,-1000000.0,-416011386.8,93000000.0,72000000.0,-23000000.0,-377467239.7,1247087705,61477787938.0,Consumer Durables
AZO,2164.600098,1.112560976,2.013416667,57.57971631,13.46,15.08,164200000.0,1346056489,20630000.0,7987129705.0,1499557000.0,16585699000.0,-2124750000.0,186752000.0,14460949000.0,231000,184967000.0,135406000.0,1101864000.0,302645000,-3759944000.0,172498000.0,961125000.0,8087893000.0,-324327000,7575494000.0,6349146000.0,61166000.0,-2427395000.0,379276000,4771266000.0,4768258000,6171344000.0,500000000,711201000,555235000.0,1170675000,1925160000,754485000,754485000,-43284000.0,155966000.0,3668904000.0,2914419000.0,1743744000,-43284000.0,555235000,555235000,-3317000.0,89268000.0,-90961000,-895946000.0,29960000.0,21100000.0,555235000.0,-210210000.0,-899997000,-1233000.0,777930000,99590000.0,107816635.5,-416011386.8,-1576000.0,32391000.0,-102269000.0,-13687000.0,-3362000,44655700015.0,Consumer Discretionary
BA,181.9400024,1.47,0.0,57.57971631,-0.22,-6.75,278600000.0,1346056489,58770000.0,2562000000.0,9052000000.0,153398000000.0,-14999000000.0,59839000000.0,138552000000.0,5061000000,2221000000.0,34408000000.0,13329000000.0,8068000000,-63520000000.0,4231000000.0,8052000000.0,81992000000.0,-11659000000,12355000000.0,108666000000.0,975000000.0,-25629000000.0,11261000000,55426000000.0,78823000000,9261000000.0,996000000,-4700000000,-4143000000.0,856000000,-1843000000,-3377000000,-3377000000,-661000000.0,-536000000.0,14793000000.0,18170000000.0,16636000000,-1323000000.0,-4164000000,-4143000000,2014000000.0,1506000000.0,1935000000,-4362000000.0,-613000000.0,6000000.0,-4143000000.0,-1716000000.0,-19000000,-5000000.0,716000000,534000000.0,-1000000.0,-416011386.8,991000000.0,4354000000.0,-222000000.0,-4349000000.0,1247087705,10692613943.0,Industrials
BAC,37.56999969,1.112560976,0.75,11.78,1.07,34.13,964700000.0,1346056489,8180000000.0,7987129705.0,10699241945.0,2899430000000.0,245358000000.0,100690000000.0,3169500000000.0,62398000000,127169000000.0,188064000000.0,6698000000.0,69022000000,-5104000000.0,1117100000000.0,342321000000.0,2615580000000.0,-5104000000,10833000000.0,975830000000.0,996713000000.0,176336000000.0,70063000000,268212000000.0,130000000,2064450000000.0,11905000000,7818000000,7013000000.0,13225000000,22549000000,0,7818000000,-145599757.6,805000000.0,22549000000.0,14731000000.0,0,0.0,7013000000,6773000000,-17747000000.0,0.0,-58907000000,83040000000.0,41014000000.0,71203177.08,7013000000.0,68367000000.0,-7533000000,-417000000.0,44651000000,495000000.0,10185000000.0,-1965000000.0,-336094604.8,-3871000000.0,-582493429.6,-8447000000.0,99718000000,307323000000.0,Financials
BBY,93.83999634,1.112560976,2.8,63.22,10.16,5.05,144000000.0,931500000,240560000.0,241000000.0,10699241945.0,15824000000.0,4278000000.0,1371000000.0,20102000000.0,24000000,486000000.0,3917000000.0,553000000.0,986000000,337000000.0,353000000.0,3465000000.0,11946000000.0,337000000,4944000000.0,13520000000.0,58000000.0,3051000000.0,1016000000,1197000000.0,8553000000,8405000000.0,1259538676,665000000,499000000.0,2108000000,2802000000,674000000,674000000,-7000000.0,166000000.0,11910000000.0,11236000000.0,9108000000,-9000000.0,499000000,499000000,-124000000.0,1445000000.0,-349000000,-685000000.0,293000000.0,6000000.0,499000000.0,-836000000.0,-405000000,1000000.0,197000000,214000000.0,107816635.5,-172000000.0,-132000000.0,18000000.0,-225000000.0,-113000000.0,-1000000,22574149519.0,Consumer Discretionary
