,RecentPrice,Beta,AnnualDividendRate,ROE(%),ROA(%),ProfitMargin(%),TotalCash,TotalDebt,OutstandingShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,MarketCap
DD,68.6999969482,1.26,1.2,4.64,2.65,29.22,32200000.000000004,406000000.0,51810000.0,8644000000.0,49702000000.0,18776000000.0,26633000000.0,718000000.0,46015000000.0,5000000.0,1131000000.0,-22892000000.0,3595000000.0,19688000000.0,-182000000.0,813000000.0,1670000000.0,4221000000.0,-182000000.0,7344000000.0,8497000000.0,1029000000.0,-1699000000.0,2852000000.0,10627000000.0,2844000000.0,2538000000.0,1000000.0,558000000.0,391000000.0,461000000.0,1493000000.0,684000000.0,684000000.0,-115000000.0,125000000.0,4271000000.0,3587000000.0,2778000000.0,-126000000.0,433000000.0,391000000.0,-311141535.35353535,147000000.0,-2398000000.0,-665000000.0,148000000.0,2000000.0,391000000.0,-2242000000.0,-501000000.0,-21000000.0,842000000.0,370000000.0,9000000.0,-157000000.0,-53000000.0,17000000.0,-2520000000.0,-377467239.6694215,-9000000.0,3559346841.886242
DLR,145.0200042725,1.1125609756097563,4.6,9.44,1.31,38.62,5000000.0,819400000.0,283790000.0,2442166000.0,21075863000.0,17845778000.0,17272878000.0,675307000.0,36369560000.0,2824000.0,8787000.0,23765154319.148937,666451000.0,7937440000.0,-3805809000.0,777675000.0,142698000.0,2171279000.0,-3805809000.0,22033999000.0,1370591000.0,1807689000.0,6893272000.0,1219106000.0,13448210000.0,3778022597.938144,1325033000.0,1259538676.4705882,1094358000.0,1067810000.0,188108000.0,638092000.0,154502000.0,154502000.0,-71762000.0,3961000.0,1103454000.0,948952000.0,465362000.0,939856000.0,1090397000.0,1057629000.0,-6641000.0,156603000.0,118096000.0,-513460000.0,301243676.4705882,3787000.0,1067810000.0,24393000.0,-1082745008.3333333,-32182000.0,451938000.0,379635000.0,-50298000.0,-9947000.0,-184879000.0,-971606000.0,-582493429.6296296,-508784000.0,1484000.0,41155227012.492775
DOW,65.4899978638,1.62,2.8,39.37,7.4,11.32,41300000.0,974599999.9999999,739610000.0,2962000000.0,7988000000.0,44721000000.0,16439000000.0,1948000000.0,61749000000.0,8000000.0,769000000.0,19357000000.0,16307000000.0,8801000000.0,-10914000000.0,2783000000.0,2911000000.0,12793000000.0,-9689000000.0,21375000000.0,20393000000.0,5435000000.0,4676000000.0,9461000000.0,13719000000.0,7111000000.0,7497000000.0,223000000.0,2248000000.0,1683000000.0,317000000.0,3262000000.0,2635000000.0,2635000000.0,-178000000.0,542000000.0,14837000000.0,12202000000.0,11575000000.0,-387000000.0,1706000000.0,1675000000.0,-327000000.0,130000000.0,-767000000.0,-2474000000.0,256000000.0,12000000.0,1683000000.0,-630000000.0,-400000000.0,-45000000.0,2721000000.0,703000000.0,-10000000.0,-518000000.0,-319000000.0,470000000.0,-435000000.0,-1120000000.0,-448000000.0,48437057320.04512
DPZ,387.2399902344,1.1125609756097563,3.6,57.57971631205673,29.6,11.59,81199999.99999999,1346056488.5496182,36360000.0,91371000.0,115000.0,5891869000.0,-4127513000.0,218405000.0,1764356000.0,366000.0,393081000.0,-4125582000.0,87786000.0,15034000.0,-2412000.0,37908000.0,295352000.0,596354000.0,-2412000.0,511547000.0,1025996000.0,82500000.0,-4233918000.0,238906000.0,4953525000.0,64563000.0,111780000.0,51500000.0,134805000.0,120402000.0,96342000.0,276622000.0,180280000.0,180280000.0,-45523000.0,14403000.0,997990000.0,817710000.0,721368000.0,-45475000.0,120402000.0,120402000.0,-311141535.35353535,0.0,-17476000.0,-126926000.0,56372000.0,6923000.0,120402000.0,44540000.0,-85417000.0,-244000.0,189186000.0,16578000.0,13000.0,-34786000.0,-336094604.83870965,-5498000.0,-17489000.0,-13646000.0,1247087705.357143,14080046044.922785
ECL,176.6000061035,1.01,1.92,17.58,6.49,9.08,31300000.0,909100000.0,286570000.0,2889700000.0,6399800000.0,10964400000.0,6933500000.0,553400000.0,17926200000.0,363700000.0,45800000.0,8659800000.0,1875100000.0,6125600000.0,-8489800000.0,477100000.0,897900000.0,2894500000.0,-1733500000.0,3447000000.0,4986800000.0,28960695355.140186,-2081800000.0,2542100000.0,5923200000.0,1378200000.0,1237100000.0,2700000.0,402400000.0,324500000.0,812000000.0,1357000000.0,545000000.0,545000000.0,-46000000.0,73800000.0,3320800000.0,2775800000.0,1963800000.0,-142600000.0,328600000.0,324500000.0,-311141535.35353535,38000000.0,-290700000.0,-841000000.0,71200000.0,53900000.0,324500000.0,-504500000.0,-7200000.0,4500000.0,622700000.0,206900000.0,-4400000.0,-137300000.0,-81900000.0,40300000.0,-178200000.0,-752100000.0,1700000.0,50608263749.079994
EFX,216.3800048828,1.43,1.56,21.56,6.59,14.54,166000000.0,1538600000.0000002,1220000.0,1366600000.0,1517600000.0,7528200000.0,3539200000.0,757800000.0,11083300000.0,236600000.0,49700000.0,4677400000.0,671900000.0,5169200000.0,-2892400000.0,279400000.0,2025500000.0,1886900000.0,-261600000.0,1252900000.0,2890300000.0,124900000.0,-2996600000.0,694600000.0,4969400000.0,3778022597.938144,192500000.0,1259538676.4705882,265400000.0,205400000.0,344200000.0,733900000.0,273200000.0,273200000.0,-35000000.0,58800000.0,1222900000.0,949700000.0,489000000.0,-7800000.0,206600000.0,205400000.0,-311141535.35353535,0.0,-344700000.0,1522700000.0,84800000.0,8300000.0,205400000.0,1567400000.0,-13500000.0,-9000000.0,398400000.0,118500000.0,107816635.51401868,-47600000.0,-3600000.0,-6700000.0,-97400000.0,1597000000.0,-21500000.0,263983605.957016
EL,263.8699951172,1.0,2.12,53.24,10.37,17.83,111199999.99999999,1149300000.0,23170000.0,3923000000.0,5450000000.0,14623000000.0,6081000000.0,1123000000.0,21580000000.0,6000000.0,61000000.0,12864000000.0,1964000000.0,2575000000.0,-12239000000.0,1125000000.0,3995000000.0,5319000000.0,-625000000.0,4471000000.0,9486000000.0,28960695355.140186,-417000000.0,2265000000.0,5267000000.0,2633000000.0,1485000000.0,285000000.0,897000000.0,692000000.0,2395000000.0,3334000000.0,939000000.0,939000000.0,-42000000.0,202000000.0,4392000000.0,3453000000.0,1058000000.0,-42000000.0,695000000.0,692000000.0,-6000000.0,-191000000.0,-153000000.0,-714000000.0,-44000000.0,36000000.0,692000000.0,-963000000.0,-557000000.0,-15000000.0,-81000000.0,183000000.0,58000000.0,-192000000.0,-583000000.0,40000000.0,-205000000.0,-1000000.0,1247087705.357143,6113867786.865524
EXPD,96.6900024414,0.79,1.1,39.3,17.14,7.93,107400000.0,133300000.0,16940000.0,7987129705.426356,74925000.0,3655791000.0,3417358000.0,1044992000.0,7076383000.0,1694000.0,961035000.0,3463539000.0,5651000.0,7927000.0,-122800000.0,17112000.0,1820106000.0,3275482000.0,-122800000.0,939805000.0,6111539000.0,28960695355.140186,3409431000.0,3330398000.0,18899216510.638298,3778022597.938144,1806977000.0,1259538676.4705882,492832000.0,359068000.0,4237000.0,567430000.0,489637000.0,489637000.0,-145599757.57575756,132922000.0,4319261000.0,3829624000.0,3751831000.0,3195000.0,359910000.0,359068000.0,-311141535.35353535,817535000.0,-10027000.0,-13786000.0,-343816000.0,56965000.0,359068000.0,145985000.0,-76599000.0,-7573000.0,177371000.0,12753000.0,-157000.0,-416011386.7924528,-714300000.0,12753000.0,-9870000.0,7479000.0,-1631000.0,1637928641.357316
FAST,56.0099983215,1.22,1.09,30.42,17.7,15.25,4400000.0,208500000.0,575160000.0,7987129705.426356,90600000.0,1257800000.0,2964700000.0,8278249846.715328,4222500000.0,2900000.0,169300000.0,2900800000.0,104600000.0,10145954223.880596,-29600000.0,183300000.0,250500000.0,662500000.0,-29600000.0,1268900000.0,2770300000.0,28960695355.140186,2964700000.0,949400000.0,330000000.0,1401100000.0,256900000.0,35000000.0,316100000.0,243500000.0,401800000.0,720200000.0,318400000.0,318400000.0,-2400000.0,72600000.0,1554200000.0,1235800000.0,834000000.0,-2300000.0,243500000.0,243500000.0,-311141535.35353535,20800000.0,-45600000.0,-190200000.0,-14400000.0,10800000.0,243500000.0,-71300000.0,-1082745008.3333333,-2900000.0,167400000.0,42800000.0,-100000.0,-161000000.0,-44200000.0,4100000.0,-47400000.0,-40000000.0,1247087705.357143,32214710634.59394
FB,210.1799926758,1.1125609756097563,2.013416666666666,31.1,17.97,33.38,176300000.0,115700000.0,2370000000.0,634000000.0,55811000000.0,41108000000.0,124879000000.0,12698000000.0,165987000000.0,2716837500.0,149000000.0,69761000000.0,6721000000.0,19197000000.0,-693000000.0,2751000000.0,16601000000.0,21135000000.0,-693000000.0,69964000000.0,66666000000.0,6775000000.0,105048000000.0,14039000000.0,18899216510.638298,3778022597.938144,4083000000.0,1259538676.4705882,12703000000.0,10285000000.0,7692000000.0,27323000000.0,12585000000.0,12585000000.0,-145599757.57575756,2418000000.0,33671000000.0,21086000000.0,6348000000.0,118000000.0,10285000000.0,10285000000.0,11843000000.0,976000000.0,5829000000.0,-21742000000.0,3678000000.0,71203177.08333333,10285000000.0,2061000000.0,-21569000000.0,-130000000.0,18104000000.0,2014000000.0,-124000000.0,-416011386.7924528,-2038000000.0,3189000000.0,-5369000000.0,-173000000.0,1247087705.357143,498126582641.646
FDX,205.7400054932,1.1125609756097563,2.9,21.38,5.91,5.49,128900000.0,1476699999.9999998,264970000.0,7987129705.426356,3653000000.0,59307000000.0,24940000000.0,8278249846.715328,84247000000.0,32000000.0,4346088436.090225,31307000000.0,11082000000.0,6702000000.0,-10052000000.0,3627000000.0,6833000000.0,13884000000.0,-977000000.0,53171000000.0,20747000000.0,28960695355.140186,18238000000.0,12197000000.0,19946000000.0,594000000.0,4190000000.0,47000000.0,1380000000.0,1044000000.0,1627970673.9130435,5890000000.0,1594000000.0,1594000000.0,-155000000.0,336000000.0,23474000000.0,21880000000.0,17584000000.0,-214000000.0,1044000000.0,1042000000.0,-311141535.35353535,34000000.0,-1562000000.0,-379000000.0,-75000000.0,27000000.0,1044000000.0,-20000000.0,-199000000.0,-77000000.0,1998000000.0,995000000.0,107816635.51401868,-200000000.0,-1245000000.0,1245000000.0,-1573000000.0,-8000000.0,1000000.0,54514929255.5332
FLT,258.6700134277,1.1125609756097563,2.013416666666666,26.99,6.32,29.62,189500000.0,2085300000.0,8120000.0,2306485000.0,2878751000.0,10499869000.0,2866580000.0,1959115000.0,13366449000.0,127000.0,730668000.0,6256442000.0,787683000.0,5107878000.0,-6268740000.0,213932000.0,1520027000.0,5252147000.0,-1464616000.0,236294000.0,5449844000.0,52016000.0,-4547783000.0,2849574000.0,4460039000.0,3778022597.938144,1406350000.0,399628000.0,302487000.0,225004000.0,216282000.0,630722000.0,340292000.0,340292000.0,-27666000.0,77483000.0,802255000.0,461963000.0,171533000.0,-37805000.0,225004000.0,225004000.0,-311141535.35353535,-62868000.0,-94143000.0,-235297000.0,581000.0,622000.0,225004000.0,241758000.0,-533445000.0,-24524000.0,595722000.0,77391000.0,107816635.51401868,-416011386.7924528,291756000.0,61930000.0,-37075000.0,314938000.0,-17412000.0,2100400509.032924
FRC,160.75,1.11,0.86,10.5,0.9,29.36,686800000.0000001,1346056488.5496182,179290000.0,69609000.0,5685384000.0,157768709000.0,11909294000.0,8278249846.715328,172570503000.0,1793000.0,453369000.0,6241963000.0,1495125000.0,171616000.0,-19846000.0,132138503000.0,12279447000.0,146468246000.0,-19846000.0,1795358000.0,12790638000.0,25604779000.0,11686111000.0,23300000.0,8376370000.0,3778022597.938144,145326345000.0,1100000000.0,470086000.0,369687000.0,713924000.0,1268617000.0,0.0,485899000.0,-145599757.57575756,100399000.0,1268617000.0,782718000.0,0.0,-15813000.0,369687000.0,345260000.0,-1328091000.0,0.0,-6606743000.0,10470337000.0,58976000.0,449853000.0,369687000.0,4402495000.0,-23457000.0,-22260245.61403509,538901000.0,48405000.0,32672000.0,-63621000.0,-336094604.83870965,61833000.0,-47542000.0,-1300000000.0,10671838000.0,28820867500.0
GILD,61.8199996948,1.1125609756097563,2.81,37.85,12.68,26.91,52699999.99999999,1289500000.0,1250000000.0,33900000000.0,4492000000.0,45627000000.0,21470000000.0,985000000.0,67098000000.0,1000000.0,50000000.0,16903000000.0,10207000000.0,8332000000.0,74000000.0,3297000000.0,4362000000.0,10245000000.0,74000000.0,5037000000.0,13991000000.0,2541000000.0,-20762000000.0,4566000000.0,25175000000.0,1676000000.0,585000000.0,2511000000.0,3438000000.0,2592000000.0,1190000000.0,6023000000.0,3686000000.0,3686000000.0,-250000000.0,852000000.0,7421000000.0,3735000000.0,1398000000.0,-248000000.0,2586000000.0,2592000000.0,-31000000.0,-20000000.0,-234000000.0,-3527000000.0,-153000000.0,57000000.0,2592000000.0,-531000000.0,-145000000.0,-23000000.0,3253000000.0,523000000.0,-10000000.0,-900000000.0,-422000000.0,591000000.0,-139000000.0,-2500000000.0,-39000000.0,77274999618.5
GL,102.9300003052,1.1125609756097563,0.78,9.16,2.25,15.29,18800000.0,225300000.0,100980000.0,4837409000.0,533683000.0,20888427000.0,8608151000.0,1814327000.0,29496578000.0,113218000.0,264257000.0,6353261000.0,16738399000.0,481791000.0,1607989000.0,1480986000.0,96325000.0,2603834000.0,2661619000.0,15228179797.202797,939421000.0,21756971000.0,8126360000.0,485475000.0,1546194000.0,3778022597.938144,395914000.0,149666000.0,230795000.0,188871000.0,1627970673.9130435,332066000.0,251681000.0,251681000.0,-20886000.0,41924000.0,1277838000.0,1026157000.0,945772000.0,-20886000.0,188871000.0,188871000.0,115054000.0,0.0,46148000.0,-450513000.0,301243676.4705882,1019000.0,188871000.0,-41747000.0,-97796000.0,4635000.0,357983000.0,509183055.9440559,-59200000.0,-20177000.0,-336094604.83870965,169112000.0,-7003000.0,-316019000.0,-17540000.0,10393871430.819096
GOOGL,2534.6000976562,1.1125609756097563,2.013416666666666,30.87,14.01,29.52,2139400000.0,114900000.0,300810000.0,1549000000.0,10699241944.88189,102836000000.0,244567000000.0,31814000000.0,347403000000.0,61193000000.0,6029000000.0,183782000000.0,15295000000.0,22623000000.0,-408000000.0,5028000000.0,23719000000.0,61782000000.0,-408000000.0,107549000000.0,184110000000.0,26544000000.0,220395000000.0,34800000000.0,12841000000.0,1278000000.0,4616000000.0,1259538676.4705882,23064000000.0,18936000000.0,8772000000.0,37497000000.0,21031000000.0,21031000000.0,-77000000.0,4128000000.0,65118000000.0,44087000000.0,27621000000.0,2033000000.0,18936000000.0,18936000000.0,-3360000000.0,510000000.0,-10050000000.0,-15254000000.0,1664000000.0,71203177.08333333,18936000000.0,89000000.0,-12610000000.0,-146000000.0,25539000000.0,3304000000.0,388000000.0,-416011386.7924528,-2409000000.0,493000000.0,-6819000000.0,-42000000.0,-2602000000.0,762433055375.9615
HON,195.1900024414,1.17,3.72,30.44,7.39,15.8,176300000.0,1228500000.0,688420000.0,3637000000.0,7612000000.0,46070000000.0,17842000000.0,300000000.0,64191000000.0,958000000.0,1516000000.0,42079000000.0,10693000000.0,16963000000.0,-32807000000.0,9865000000.0,11087000000.0,20207000000.0,-3193000000.0,6450000000.0,26033000000.0,1243000000.0,-2758000000.0,7414000000.0,14243000000.0,4967000000.0,6116000000.0,3286000000.0,1700000000.0,1257000000.0,828000000.0,2727000000.0,1899000000.0,1899000000.0,-86000000.0,427000000.0,8473000000.0,6574000000.0,5746000000.0,-199000000.0,1273000000.0,1257000000.0,-17000000.0,-23000000.0,-104000000.0,-1318000000.0,136000000.0,57000000.0,1257000000.0,-340000000.0,-650000000.0,-37000000.0,1119000000.0,308000000.0,111000000.0,-646000000.0,-292000000.0,-22000000.0,-208000000.0,-38000000.0,-41000000.0,134372701480.70859
HPQ,37.4700012207,1.1125609756097563,0.77,57.57971631205673,9.91,10.24,39700000.0,1346056488.5496182,1080000000.0,784000000.0,1060000000.0,40260000000.0,-1650000000.0,5532000000.0,38610000000.0,11000000.0,278000000.0,-2461000000.0,3818000000.0,6803000000.0,-260000000.0,4985000000.0,4299000000.0,29096000000.0,-260000000.0,3738000000.0,22170000000.0,130000000.0,-9237000000.0,8849000000.0,6396000000.0,7930000000.0,16075000000.0,662000000.0,3553000000.0,3099000000.0,1402000000.0,3265000000.0,1367000000.0,1367000000.0,-61000000.0,454000000.0,16675000000.0,15308000000.0,13410000000.0,2186000000.0,3099000000.0,3099000000.0,17000000.0,117000000.0,-400000000.0,-1588000000.0,173000000.0,71203177.08333333,3099000000.0,860000000.0,-1754000000.0,-22260245.61403509,2848000000.0,200000000.0,27000000.0,-219000000.0,-583000000.0,-264000000.0,-172000000.0,394000000.0,-9000000.0,40467601318.355995
HSY,225.9799957275,0.39,3.31,59.37,13.1,16.47,16000000.0,1949800000.0,145390000.0,2298244000.0,1260331000.0,7655002000.0,2757229000.0,3070000.0,10412231000.0,221553000.0,127678000.0,2719936000.0,764163000.0,2633174000.0,-1444591000.0,203619000.0,329266000.0,2493313000.0,-249215000.0,2937899000.0,2246206000.0,93089000.0,-2174189000.0,671464000.0,4020325000.0,988511000.0,692338000.0,1259538676.4705882,342941000.0,335556000.0,518708000.0,1012837000.0,454022000.0,454022000.0,-30430000.0,3150000.0,2326128000.0,1872106000.0,1313291000.0,-111081000.0,339791000.0,335556000.0,-52500000.0,-36714000.0,-1383089000.0,356690000.0,14612000.0,9849000.0,335556000.0,-346250000.0,-1082745008.3333333,982000.0,679167000.0,83049000.0,-590000.0,-180793000.0,208222000.0,136039000.0,-148427000.0,527634000.0,1247087705.357143,32855231578.821228
IBM,126.5599975586,1.1,6.54,21.41,3.74,6.4,89800000.0,2638000000.0,896320000.0,13025000000.0,10699241944.88189,121857000000.0,22228000000.0,14492000000.0,144214000000.0,57189000000.0,2771000000.0,161747000000.0,35908000000.0,61378000000.0,-196708000000.0,19463000000.0,7455000000.0,35831000000.0,-27302000000.0,13391000000.0,29967000000.0,1944000000.0,-52175000000.0,15418000000.0,46569000000.0,1891000000.0,4248000000.0,6632000000.0,1318000000.0,1130000000.0,5015000000.0,8278000000.0,1786000000.0,1786000000.0,-291000000.0,188000000.0,17618000000.0,15832000000.0,9340000000.0,-468000000.0,1130000000.0,1130000000.0,126000000.0,0.0,-629000000.0,-1748000000.0,-356000000.0,71203177.08333333,1130000000.0,242000000.0,-18000000.0,-94000000.0,2713000000.0,1684000000.0,107816635.51401868,-1471000000.0,-336094604.83870965,255000000.0,-558000000.0,-288000000.0,29000000.0,113438257011.72435
ICE,124.5299987793,1.1125609756097563,1.29,15.03,1.53,43.81,23400000.0,668800000.0,56340000.0,13928000000.0,14019000000.0,128983000000.0,21559000000.0,109230000000.0,150662000000.0,6000000.0,109743000000.0,13009000000.0,4283000000.0,21309000000.0,-5475000000.0,982000000.0,618000000.0,112032000000.0,-206000000.0,1723000000.0,112720000000.0,28960695355.140186,-13678000000.0,1327000000.0,12394000000.0,3778022597.938144,696000000.0,499000000.0,824000000.0,633000000.0,657000000.0,1802000000.0,892000000.0,892000000.0,-108000000.0,187000000.0,1802000000.0,910000000.0,0.0,-68000000.0,637000000.0,633000000.0,-311141535.35353535,-116000000.0,-94000000.0,-410000000.0,-205000000.0,71203177.08333333,633000000.0,15000000.0,-2000000.0,-4000000.0,523000000.0,253000000.0,-2000000.0,-187000000.0,-35000000.0,-7000000.0,-22000000.0,-237000000.0,16000000.0,7016020131.225762
IDXX,496.7799987793,1.1125609756097563,2.013416666666666,112.62,24.62,23.17,17200000.0,1494300000.0,84790000.0,99035000.0,1377320000.0,1747211000.0,689992000.0,83240000.0,2437203000.0,10688000.0,74590000.0,2920440000.0,121036000.0,359345000.0,-3618456000.0,330400000.0,144454000.0,763579000.0,-47765000.0,692768000.0,955655000.0,28960695355.140186,231612000.0,425584000.0,775205000.0,269030000.0,116140000.0,74996000.0,191883000.0,162771000.0,211924000.0,456421000.0,199191000.0,199191000.0,-7477000.0,29112000.0,801090000.0,601899000.0,344669000.0,-7308000.0,162771000.0,162771000.0,-311141535.35353535,10532000.0,-44040000.0,-165820000.0,-3184000.0,9137000.0,162771000.0,-749000.0,-244817000.0,-853000.0,209964000.0,27695000.0,107816635.51401868,-416011386.7924528,15909000.0,2269000.0,-31788000.0,73500000.0,-3640000.0,42121976096.49685
ILMN,336.4899902344,1.1125609756097563,2.013416666666666,11.86,3.93,21.19,80900000.0,239500000.0,15630000.0,2646000000.0,8849000000.0,4470000000.0,10593000000.0,306000000.0,15063000000.0,2000000.0,4346088436.090225,5372000000.0,1085000000.0,7098000000.0,-3630000000.0,950000000.0,1080000000.0,914000000.0,13000000.0,1685000000.0,2451000000.0,233000000.0,849000000.0,604000000.0,1687000000.0,401000000.0,248000000.0,1259538676.4705882,420000000.0,317000000.0,372000000.0,788000000.0,129000000.0,129000000.0,-14000000.0,103000000.0,1108000000.0,979000000.0,320000000.0,291000000.0,317000000.0,317000000.0,-32000000.0,-40000000.0,-2448000000.0,-394000000.0,-139000000.0,28000000.0,317000000.0,-3116000000.0,-422000000.0,-2000000.0,-272000000.0,65000000.0,107816635.51401868,-416011386.7924528,-64000000.0,-400000000.0,-52000000.0,-377467239.6694215,1247087705.357143,5259338547.363672
IQV,238.4799957275,1.4,2.013416666666666,13.12,3.3,5.67,82400000.0,2150100000.0,191040000.0,4812000000.0,10744000000.0,18204000000.0,5829000000.0,2093000000.0,24033000000.0,3000000.0,410000000.0,1925000000.0,915000000.0,13124000000.0,-6843000000.0,516000000.0,1470000000.0,4847000000.0,-445000000.0,889000000.0,4534000000.0,158000000.0,-12107000000.0,2386000000.0,12119000000.0,3778022597.938144,2663000000.0,91000000.0,273000000.0,261000000.0,498000000.0,1138000000.0,304000000.0,304000000.0,-92000000.0,12000000.0,3391000000.0,3087000000.0,2253000000.0,-31000000.0,261000000.0,261000000.0,-5000000.0,0.0,-1095000000.0,-66000000.0,53000000.0,71203177.08333333,261000000.0,-337000000.0,-95000000.0,-20000000.0,844000000.0,336000000.0,1000000.0,-416011386.7924528,182000000.0,8000000.0,-162000000.0,36000000.0,-7000000.0,45559218383.7816
IR,46.4399986267,1.47,2.12,5.58,2.66,7.15,49900000.0,401100000.0,407580000.0,3695800000.0,9386500000.0,6200000000.0,8653600000.0,535400000.0,14922800000.0,4200000.0,207300000.0,93800000.0,1145200000.0,6100600000.0,-830900000.0,476300000.0,2033000000.0,1632600000.0,-81300000.0,619200000.0,4030900000.0,28960695355.140186,-1142800000.0,927000000.0,3396200000.0,863600000.0,632900000.0,40100000.0,133700000.0,126000000.0,250900000.0,514300000.0,181800000.0,181800000.0,-22500000.0,2700000.0,1325000000.0,1143200000.0,810700000.0,-48100000.0,131000000.0,126000000.0,-311141535.35353535,2900000.0,-610100000.0,-1132100000.0,-189600000.0,7200000.0,126000000.0,-1636900000.0,-733300000.0,-10700000.0,116000000.0,102500000.0,-1300000.0,-416011386.7924528,29200000.0,90900000.0,-15300000.0,-406000000.0,1247087705.357143,18928014640.270386
JCI,61.5299987793,1.1125609756097563,1.07,9.36,5.03,6.92,19000000.0,486000000.0,704330000.0,5549000000.0,17116000000.0,23137000000.0,17562000000.0,3666000000.0,41890000000.0,7000000.0,867000000.0,2025000000.0,5478000000.0,18335000000.0,-1586000000.0,2338000000.0,1336000000.0,9098000000.0,-434000000.0,4604000000.0,9998000000.0,1066000000.0,-6322000000.0,5738000000.0,7506000000.0,2057000000.0,3746000000.0,226000000.0,806000000.0,269000000.0,970000000.0,2191000000.0,946000000.0,946000000.0,-52000000.0,490000000.0,6392000000.0,5446000000.0,4201000000.0,-140000000.0,316000000.0,269000000.0,-6000000.0,-41000000.0,-204000000.0,-481000000.0,-151000000.0,18000000.0,269000000.0,-115000000.0,-309000000.0,49000000.0,521000000.0,218000000.0,107816635.51401868,-192000000.0,14000000.0,-135000000.0,-228000000.0,36000000.0,-34000000.0,43337424040.22437
JKHY,200.4900054932,1.1125609756097563,1.81,21.93,11.23,17.96,6000000.0,88300000.0,74040000.0,481422000.0,527255000.0,885246000.0,1395665000.0,268840000.0,2280911000.0,1038000.0,61429000.0,2480574000.0,343389000.0,687458000.0,-1613202000.0,313444000.0,44251000.0,430038000.0,-1552249020.689655,294376000.0,490961000.0,13250000.0,226785000.0,293427000.0,65000000.0,3778022597.938144,14015000.0,1259538676.4705882,133354000.0,102114000.0,51071000.0,211420000.0,133595000.0,133595000.0,-248000.0,31240000.0,488056000.0,354461000.0,276636000.0,-241000.0,102114000.0,102114000.0,-311141535.35353535,-57803000.0,-46451000.0,-66839000.0,-57576000.0,3177000.0,102114000.0,-6741000.0,-953000.0,-22260245.61403509,106549000.0,44173000.0,107816635.51401868,-34036000.0,53404000.0,12325000.0,-9273000.0,-35027000.0,1247087705.357143,14844280006.716528
L,65.1500015259,0.9400000000000001,0.25,9.37,2.08,11.12,197000000.0,476400000.0,253680000.0,721000000.0,3120000000.0,62596000000.0,17817000000.0,5588000000.0,81726000000.0,3000000.0,4346088436.090225,15336000000.0,23410000000.0,349000000.0,-642000000.0,6737000000.0,811000000.0,30261000000.0,191000000.0,9878000000.0,14185000000.0,49856000000.0,17468000000.0,9187000000.0,8919000000.0,3778022597.938144,23832000000.0,187000000.0,304000000.0,220000000.0,638000000.0,1041000000.0,403000000.0,403000000.0,-99000000.0,58000000.0,3371000000.0,2968000000.0,2330000000.0,-99000000.0,246000000.0,220000000.0,-347000000.0,0.0,-517000000.0,-376000000.0,485000000.0,71203177.08333333,220000000.0,233000000.0,-341000000.0,-7000000.0,1133000000.0,15000000.0,-26000000.0,-16000000.0,-28000000.0,113000000.0,-144000000.0,-8000000.0,-11000000.0,16527252387.090311
LNT,63.3899993896,0.41000000000000003,1.59,11.1,2.71,17.96,1600000.0,1320400000.0,250360000.0,7987129705.426356,2749000000.0,12563000000.0,5990000000.0,457000000.0,18553000000.0,3000000.0,344000000.0,3250000000.0,3751000000.0,10145954223.880596,-12000000.0,1980000000.0,39000000.0,2054000000.0,-12000000.0,14987000000.0,1069000000.0,517000000.0,5990000000.0,440000000.0,6735000000.0,246000000.0,436000000.0,633000000.0,80000000.0,88000000.0,9000000.0,321000000.0,123000000.0,123000000.0,-78000000.0,-8000000.0,927000000.0,804000000.0,606000000.0,-43000000.0,88000000.0,88000000.0,-311141535.35353535,33000000.0,-276000000.0,187000000.0,-54000000.0,6000000.0,88000000.0,16000000.0,-1082745008.3333333,-22260245.61403509,105000000.0,163000000.0,61000000.0,-99000000.0,-133000000.0,8000000.0,-337000000.0,495000000.0,-15000000.0,15870320247.180256
